COUNTY,MedianHomePrice,Pop 2023,Poverty,Median Household Income (2021),% of State Median HH Income
Anderson County,201010.98,"57,736",3.5,"$54,515 ",81.40%
Andrews County,223212.33,"18,664",3.2,"$70,005 ",104.50%
Angelina County,192181.85,"87,319",4.6,"$50,620 ",75.60%
Aransas County,330643.96,"25,374",5.3,"$55,435 ",82.80%
Archer County,213881.89,"9,029",3.4,"$69,286 ",103.50%
Armstrong County,184607.08,"1,832",2.8,"$64,401 ",96.20%
Atascosa County,241188.91,"51,784",4.1,"$57,905 ",86.50%
Austin County,373406.00,"31,677",4,"$68,150 ",101.80%
Bailey County,115366.68,"6,672",4.3,"$47,375 ",70.80%
Bandera County,353483.73,"22,637",3.7,"$69,051 ",103.10%
Bastrop County,362107.89,"110,778",3.4,"$72,809 ",108.70%
Baylor County,101053.24,"3,463",2.8,"$45,408 ",67.80%
Bee County,152822.85,"30,850",5.9,"$45,431 ",67.80%
Bell County,252886.22,"393,193",4.5,"$58,878 ",87.90%
Bexar County,260402.27,"2,087,679",3.8,"$63,014 ",94.10%
Blanco County,564766.43,"13,048",2.8,"$69,247 ",103.40%
Borden County,,572,1.9,"$69,744 ",104.20%
Bosque County,221883.70,"18,996",3.7,"$56,041 ",83.70%
Bowie County,176359.42,"91,687",4.7,"$52,934 ",79.10%
Brazoria County,322930.83,"398,938",4.6,"$82,165 ",122.70%
Brazos County,311162.97,"244,703",3.1,"$50,494 ",75.40%
Brewster County,223949.96,"9,513",3.5,"$51,197 ",76.50%
Briscoe County,92575.96,"1,445",3.6,"$49,905 ",74.50%
Brooks County,65728.44,"6,848",6.1,"$33,460 ",50.00%
Brown County,185216.06,"38,709",4.4,"$48,803 ",72.90%
Burleson County,251662.42,"19,475",3.6,"$57,469 ",85.80%
Burnet County,447676.47,"53,991",3,"$72,510 ",108.30%
Caldwell County,295986.29,"49,859",3.5,"$60,063 ",89.70%
Calhoun County,193717.78,"19,696",3.7,"$70,662 ",105.50%
Callahan County,173024.58,"14,374",3.6,"$56,708 ",84.70%
Cameron County,191858.30,"426,710",5.7,"$46,436 ",69.30%
Camp County,192884.63,"13,000",4.5,"$51,024 ",76.20%
Carson County,143569.37,"5,878",3.1,"$66,548 ",99.40%
Cass County,151313.65,"28,659",4.7,"$42,896 ",64.10%
Castro County,116875.55,"7,227",3.2,"$62,236 ",92.90%
Chambers County,331393.36,"53,876",5.4,"$89,767 ",134.10%
Cherokee County,226830.09,"52,217",4.5,"$48,664 ",72.70%
Childress County,88416.39,"6,788",2.9,"$42,758 ",63.90%
Clay County,183027.26,"10,738",3.9,"$60,973 ",91.10%
Cochran County,65496.54,"2,509",4.8,"$42,274 ",63.10%
Coke County,130277.48,"3,352",3.5,"$46,767 ",69.80%
Coleman County,102716.23,"7,842",4.4,"$42,253 ",63.10%
Collin County,515523.39,"1,195,359",3.2,"$102,119 ",152.50%
Collingsworth County,87814.26,"2,563",3.5,"$45,734 ",68.30%
Colorado County,248170.30,"21,117",3.6,"$62,004 ",92.60%
Comal County,446047.36,"193,928",3.5,"$93,487 ",139.60%
Comanche County,200415.37,"14,050",3.5,"$49,076 ",73.30%
Concho County,131646.89,"3,297",3.2,"$48,563 ",72.50%
Cooke County,307733.58,"43,782",3.4,"$58,060 ",86.70%
Coryell County,220953.48,"84,878",4.5,"$59,718 ",89.20%
Cottle County,74463.77,"1,294",2.8,"$44,590 ",66.60%
Crane County,182287.29,"4,574",5,"$63,555 ",94.90%
Crockett County,94647.02,"2,858",4,"$53,159 ",79.40%
Crosby County,77406.84,"4,917",4.2,"$42,728 ",63.80%
Culberson County,121139.19,"2,196",2.8,"$48,217 ",72.00%
Dallam County,138023.73,"7,237",2.4,"$70,895 ",105.90%
Dallas County,316250.32,"2,606,358",3.8,"$63,549 ",94.90%
Dawson County,94187.68,"12,004",4.4,"$43,627 ",65.20%
Deaf Smith County,179959.69,"18,347",3,"$50,967 ",76.10%
Delta County,160766.57,"5,520",4.1,"$50,329 ",75.20%
Denton County,177560.44,"1,007,703",3.3,"$98,027 ",146.40%
DeWitt County,455453.34,"19,929",3.5,"$54,279 ",81.10%
Dickens County,67968.58,"1,711",4.8,"$42,690 ",63.80%
Dimmit County,105414.37,"8,257",3.9,"$41,838 ",62.50%
Donley County,94954.99,"3,214",3.6,"$44,353 ",66.20%
